Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
CEdTPBK6HBjpUP_zLDdrlQ,SONA,36 East 20th St,"{'latitude': 40.73861, 'longitude': -73.98864}",313,3.0,10003
yx8cpBwPttpdBvm4V1EawQ,Joy Curry & Tandoor,148 E 46th St,"{'latitude': 40.75352, 'longitude': -73.9736117202377}",227,4.0,10017
7-mcmUETyMifs3rbpvCObA,Yeti Spice Grill,1764 1st Ave,"{'latitude': 40.7802334786396, 'longitude': -73.9467215538025}",63,4.5,10128
6NcU2JAznLr9dDHp6GgQyw,Doaba Deli,945 Columbus Ave,"{'latitude': 40.7994, 'longitude': -73.9624}",247,4.5,10025
FqYgcc7Mk2XrYJ10OGgghQ,Himalayan Curry House Restaurant and Bar,220 E 53rd St,"{'latitude': 40.757199, 'longitude': -73.96858}",69,4.0,10022
3uEkZEAp7biQEtt0S7W1Vg,Vatan Indian Vegetarian,409 3rd Ave,"{'latitude': 40.74236, 'longitude': -73.9803699}",819,4.0,10016
BXoW0AUDE7WZJcY-Vhqlbg,Indian Table,234 Court St,"{'latitude': 40.6859591, 'longitude': -73.9941661}",190,4.5,11201
GVaTZnN7a-DkrK57l7BbGw,Boishakhi Restaurant,2914 36th Ave,"{'latitude': 40.7569548876687, 'longitude': -73.9310011267662}",105,4.0,11106
Bb0h5Rs8ugSM2CjulRhfBw,Spicy Moon East Village,328 E 6th St,"{'latitude': 40.72674, 'longitude': -73.98722}",614,4.5,10003
rzjwoNXH2tCEmA3wo6fy9w,India Palace,401 E 62nd St,"{'latitude': 40.763200972497586, 'longitude': -73.96042531491231}",16,4.0,10065
9x95RpLEIDRWG2Y9w4qz4Q,INDAY,708 3rd Ave,"{'latitude': 40.75233, 'longitude': -73.97353}",136,4.0,10017
XgqIDfU6tKPUdRxRG5uDNw,Desi Deli Indian Restaurant,724 10th Ave,"{'latitude': 40.76433, 'longitude': -73.99182}",141,3.5,10019
dxK7_NNqLDYG39VGZI9B3w,Himalayan Curry house,254 W 108th St,"{'latitude': 40.8023275567219, 'longitude': -73.9662716345275}",65,4.0,10025
e5c8jGklVNKoaURcDsVxgQ,Curry Up Now,91 Washington St,"{'latitude': 40.737138, 'longitude': -74.030709}",237,4.0,07030
PdzL9svqapSqH4o8bF86Pw,Punjabi Grocery & Deli,114 E 1st St,"{'latitude': 40.7227225423661, 'longitude': -73.9866224576721}",452,4.5,10009
UtknyDJ_DPut-FKRqs0wpQ,Royal Grill Halal Food,44TH St And 6th Ave,"{'latitude': 40.75621073292354, 'longitude': -73.98334948251191}",513,4.5,10018
Gni26uzPdfkCSagKEcFP2g,Lore,441 7th Ave,"{'latitude': 40.66316670737584, 'longitude': -73.9845233117843}",51,4.0,11215
7YJxZAvMxB-oVZfHAuvBmw,Lakruwana Restaurant,668 Bay St,"{'latitude': 40.62571, 'longitude': -74.075373}",405,4.5,10304
EPHhPGDFvnq2ARTBxAikuw,Milon,93 1st Ave,"{'latitude': 40.726322, 'longitude': -73.986648}",516,3.5,10003
NKI1VvfXYluRjnq4S6yEuw,Divya's Kitchen,25 1st Ave,"{'latitude': 40.72378, 'longitude': -73.98849}",460,4.5,10003
hKKDfUPcDX_c-RCWBMOr1w,Bombay Sandwich Co.,48 W 27th St,"{'latitude': 40.7450715521913, 'longitude': -73.990359620218}",457,4.0,10001
FvnExtQHPfz_crDCBTQ1iQ,Mint Masala,95 Macdougal St,"{'latitude': 40.729513, 'longitude': -74.001138}",343,4.0,10012
0s8rxDQhglhh28BLz-80qw,Mysttik Masaala,90 Park Ave,"{'latitude': 40.75074, 'longitude': -73.97936}",20,5.0,10016
AuCRCB64bsBMdq02ydEuCA,Manhattan Indian Flavor,311 2nd Ave,"{'latitude': 40.73504, 'longitude': -73.98321}",19,4.0,10003
fFkqEyupjc5x2iJQIPcpLw,Ruffian,125 E 7th St,"{'latitude': 40.7264, 'longitude': -73.98411}",265,4.5,10009
l_Td-NFRIdxu7m6pgJUqhQ,Manhattan Valley,2636 Broadway 100 St,"{'latitude': 40.797005967886, 'longitude': -73.9697319902153}",119,3.5,10025
m9Q9x-Hcxp24gZCaTTJY-A,Sahib,104 Lexington Ave,"{'latitude': 40.74232, 'longitude': -73.9830099}",291,4.0,10016
-mQG7oEHSAMr9dBDrrqI2g,deep indian kitchen - indikitch,1190 Avenue Of The Americas,"{'latitude': 40.75763, 'longitude': -73.9817}",187,3.5,10036
nQfPwIasXCi8NwNKq65vfw,Mysttik Masaala,152 West 52nd St,"{'latitude': 40.7617745, 'longitude': -73.98173}",121,4.5,10019
x3NeZ4xToUxVKDoZ32D5tg,NY Dosas,50 Washington Sq S,"{'latitude': 40.7308386079893, 'longitude': -73.99863779767}",529,4.5,10014
IFZ3_d01uflGixWrrD8_gg,Ariana Afghan Kebab Restaurant,787 9th Ave,"{'latitude': 40.76515, 'longitude': -73.98813}",551,4.0,10019
8Nva_eS_FxPOqVuUOvqz_Q,Indian Summer Harlem,239 Lenox Ave,"{'latitude': 40.805898, 'longitude': -73.947324}",155,4.5,10027
