Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
tuP7STBjszTvKcQLeFMnkw,Nina's Great Burrito Bar,522 Columbus Ave,"{'latitude': 40.786026, 'longitude': -73.972724}",388,4.0,10024
6ezrABEThm48qv1qj8_FVw,Javelina,1395 2nd Ave,"{'latitude': 40.7694, 'longitude': -73.95816}",146,4.0,10021
MfbVI5reXLIIs8Cc2HwgQw,Breakroom,83 Baxter St,"{'latitude': 40.7166907225542, 'longitude': -73.9999440120647}",1680,4.5,10013
qr24KgWcZGUhKZIPyVMsNw,Maz Mezcal,316 E 86th St,"{'latitude': 40.77741, 'longitude': -73.95103}",424,3.5,10028
4UxmxAqehEIh7fYrzUEA7A,Tacovision,244 E 53rd St,"{'latitude': 40.7568200311153, 'longitude': -73.9678929001093}",370,4.0,10004
zwWksgd8M4-g7RBmVudYTg,Aldama,91 S 6th St,"{'latitude': 40.710999707909046, 'longitude': -73.96489653736353}",70,4.0,11249
oNgT6-rh-2TOeAF16AxXVw,Tacos & Tequila,1742 2nd Ave,"{'latitude': 40.78075, 'longitude': -73.94942}",57,4.0,10128
2-yiGN-eDKPmxPvc55GPZg,Mezcali,83 Maiden Ln,"{'latitude': 40.70745, 'longitude': -74.00748}",87,4.0,10038
ojeMH0rbOOMx9ajChbVkJQ,Papatzul,55 Grand St,"{'latitude': 40.722148, 'longitude': -74.003677}",474,3.5,10013
XipQLDbyTl5tsLlyzAWzug,Jajaja Mexicana,162 E Broadway,"{'latitude': 40.71419, 'longitude': -73.99041}",1165,4.5,10002
YsDmYRzJo3kiwZvIe1r0Fg,Playa Betty’s,320 Amsterdam Ave,"{'latitude': 40.78075, 'longitude': -73.98032}",955,3.5,10023
1nR3kKOs938gcgnw6p5wjg,Sinigual,640 3rd Ave,"{'latitude': 40.7503161990978, 'longitude': -73.97508162972879}",1044,3.5,10017
ErJ0cbHUxOozl0sz_3wl5A,CasaTulum,229 Front St,"{'latitude': 40.707471, 'longitude': -74.001911}",12,4.0,10038
2hmhZim4bX2lbjPSNc7LaA,Javelina,119 E 18th St,"{'latitude': 40.7368812561035, 'longitude': -73.9873886108398}",527,4.0,10003
2u8T56A4qu-MjeuT-v7s_g,Casa Bocado,341 Broome St,"{'latitude': 40.71958, 'longitude': -73.99484}",119,4.5,10013
uwDuBWMQcRmdyBpnK0LkTg,‘ritas,756 9th Ave,"{'latitude': 40.7633331939511, 'longitude': -73.9887996051015}",59,4.0,10019
4Z0sxJTNkxhRBH3l5PG_qw,Bar Tulix,25 W Houston St,"{'latitude': 40.72577, 'longitude': -73.99808}",57,4.0,10012
PHMkwS5nmo4IUXbcg0OcAg,Jajaja Mexicana,63 Carmine St,"{'latitude': 40.72979, 'longitude': -74.00455}",566,4.5,10014
