Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
d15lwNLOlLSeaAYqPadntw,Sam's Place,132 E 39th St,"{'latitude': 40.749270880468, 'longitude': -73.977082744053}",292,4.0,10016
kMQ0IXs5mdjDeUvpWSHgRg,Il Mulino New York - Tribeca,361 Greenwich St,"{'latitude': 40.71904, 'longitude': -74.01016}",50,4.0,10013
lP4ynyBoeFPywLg78XkMmw,Cibo e Vino,2418 Broadway,"{'latitude': 40.79000179662657, 'longitude': -73.97485616653263}",398,4.0,10024
yi6jIxzHo-nbAOG4KWuqcw,Maialino,30 E 30th St,"{'latitude': 40.7448869, 'longitude': -73.984231}",1416,4.0,10016
RbiXVG4tzpC3zuILadyPIQ,La Pecora Bianca,359 Columbus Ave,"{'latitude': 40.78049101969648, 'longitude': -73.9763467}",31,4.0,10024
xsQTIeq-WLkp4ParkTQpMQ,PizzArte,69 W 55th St,"{'latitude': 40.7629335072372, 'longitude': -73.9776668697596}",1249,4.0,10019
FNxOWxts63oDRKwy9Pbfzw,Tarallucci E Vino - Nomad,44 E 28th St,"{'latitude': 40.74345604900017, 'longitude': -73.98470300895319}",196,4.0,10016
XQKUqU1vPvgnapxmmBI55Q,Maestro Pasta,102 MacDougal St,"{'latitude': 40.72934, 'longitude': -74.00093}",42,4.5,10012
FRp1NwIyp6tkDU986cJkXQ,Piccola Cucina Estiatorio,75 Thompson St,"{'latitude': 40.7246, 'longitude': -74.0029799}",243,4.5,10012
FKzpfWUpyupl4q74Jt8fTA,Don Antonio,309 W 50th St,"{'latitude': 40.762711, 'longitude': -73.986708}",1630,4.0,10019
MH08_pIRKsUSwfkVYxUE7w,Vinatería,2211 Frederick Douglass Blvd,"{'latitude': 40.80668, 'longitude': -73.95395}",599,4.0,10026
JBthOvTegHbrLDiVaCAy5Q,Bigoi Venezia,1415 2nd Ave,"{'latitude': 40.770036, 'longitude': -73.9577755}",334,4.5,10021
QObHX0yR6zd0WfksRDbJTA,Becco,355 W 46th St,"{'latitude': 40.76083, 'longitude': -73.98981}",3079,3.5,10036
twHJyFgUSd7wzioKQjE7Jw,Galli,45 Mercer St,"{'latitude': 40.72161, 'longitude': -74.00127}",1039,4.0,10013
EBK0OkVMBg_n_KxAU_4DZg,Double Zero,65 2nd Ave,"{'latitude': 40.7261288, 'longitude': -73.9896645}",609,4.5,10003
XHhRAKq6DArQXYhkgvwaow,Spaghetti Incident,231 Eldridge St,"{'latitude': 40.7223153441439, 'longitude': -73.9899454318763}",646,4.0,10002
EDucGBSfQ0YIbxdHS-KnCg,Sagaponack,4 W 22nd St,"{'latitude': 40.741019, 'longitude': -73.990692}",225,4.5,10010
IxwuIDcpRa7EpQs7V481Ww,Il Gattopardo,13-15 W 54th St,"{'latitude': 40.7614994602915, 'longitude': -73.976308999227}",225,4.0,10019
ry0nAQiUn8bpNAruY_5wfw,Scalino,659 Manhattan Ave,"{'latitude': 40.7244699, 'longitude': -73.95151}",298,4.5,11222
rJJiGJx3kfMAxtD7P7okHQ,Celeste Restaurant,502 Amsterdam Ave,"{'latitude': 40.78666, 'longitude': -73.97599}",964,3.5,10024
Fit_iIDn__NPVZpVlKFBFQ,Osteria 106,53 W 106 St,"{'latitude': 40.79894, 'longitude': -73.96174}",198,4.5,10025
MeUq9lombxM9alxs64tejQ,Pepolino Restaurant,281 W Broadway,"{'latitude': 40.720756, 'longitude': -74.004885}",617,4.0,10013
9T8Ootw4aqmaO42gI-wBSA,Botte UES,1606 1st Ave,"{'latitude': 40.775079766410514, 'longitude': -73.95047928303218}",94,4.0,10028
dh5r9-SbN8xJ76XvnayWLQ,Giano Restaurant,126 E 7th St,"{'latitude': 40.7262256596862, 'longitude': -73.9840574049125}",695,4.5,10009
qKfD10PsDKP_9B7O1_7oJQ,All'Antico Vinaio,729 8th Ave,"{'latitude': 40.7597, 'longitude': -73.98823}",214,4.5,10036
yc4vsT-Q4Ej1_9hr94DxkQ,Sotto 13,140 W 13th St,"{'latitude': 40.7372, 'longitude': -73.99919}",1032,4.0,10011
f_1BjTChf6bobreSRpqhsw,Arco Cafe,886 Amsterdam Ave,"{'latitude': 40.7988462, 'longitude': -73.967065}",340,4.5,10025
RG5atiZtuNtpDu6GrNUQGw,NORMA Gastronomia Siciliana,801 9th Ave,"{'latitude': 40.76563298237293, 'longitude': -73.98769143895947}",86,4.0,10019
JOvcJqD5eCFrGjFa6k7vpQ,Zia Maria - Chelsea,318 W 23rd St,"{'latitude': 40.7454863, 'longitude': -73.9993392}",306,4.0,10011
l7OsDvMOO3ji3fg0nT0QzA,Tony's Di Napoli,1081 3rd Ave,"{'latitude': 40.764385574147596, 'longitude': -73.96426247506157}",820,4.0,10065
kQuTJxm0KAX1AsS46vhC_g,Barbuto,113 Horatio St,"{'latitude': 40.73885, 'longitude': -74.00932}",80,4.0,10014
aJJlY5xvqS180wtRIHEWqA,Cotenna,21 Bedford St,"{'latitude': 40.72903, 'longitude': -74.00357}",459,4.0,10014
eMSTTuOUlKEnSOr8lPp3Xg,Ammazzacaffè,702 Grand St,"{'latitude': 40.7113172, 'longitude': -73.9446243}",282,4.5,11211
abZ-mEvF6Tj4hfyIg0lKwQ,Vite Vinosteria,31-05 34th St,"{'latitude': 40.7629734277725, 'longitude': -73.92119564116}",680,4.5,11106
lgFApPVpbXnsIFw1CRJORw,Cellini Restaurant,65 E 54th St,"{'latitude': 40.760115, 'longitude': -73.972686}",179,4.0,10022
a0IET3_yCFcO36OqGSsisg,Eataly NYC Flatiron,200 5th Ave,"{'latitude': 40.74200824886595, 'longitude': -73.98993910744127}",6036,4.0,10010
-hUvO0C0A-pGZdiSKvjoFw,Babbo,110 Waverly Pl,"{'latitude': 40.732283, 'longitude': -73.999284}",2588,4.0,10011
f8ipr8Wdy1_wHhw7JgNqPQ,Da Claudio,21 Ann St,"{'latitude': 40.71087, 'longitude': -74.00753}",606,4.5,10038
ifIfq2EwEohCgoKnG68_LA,Villa Berulia,107 E 34th St,"{'latitude': 40.7467827, 'longitude': -73.9806507}",192,4.5,10016
ZamvzoxEKiJEboO0ZUdogw,Amici Ristorante,165 Mulberry St,"{'latitude': 40.71981, 'longitude': -73.99722}",175,4.5,10013
ZVa3-O6LMxZXSpKG0J1h-w,Piccolo Angolo Restaurant,621 Hudson St,"{'latitude': 40.7378601855952, 'longitude': -74.0058052539825}",603,4.0,10014
3FJjOq78eeqakDCsJHqJug,Sotto La Luna,34-39 31st St,"{'latitude': 40.75821891908545, 'longitude': -73.92818819919232}",65,4.5,11106
T5dgMOv1iNY-z2ibeFQZgA,Il Monello,337 East 49th St,"{'latitude': 40.753779846700596, 'longitude': -73.9674672}",6,5.0,10017
cl97uG2_QtiMBah-_s9w7g,Il Divo,1347 2nd Ave At E 71st St,"{'latitude': 40.76816, 'longitude': -73.959204}",100,4.5,10021
CfYxlqO3W3PCE7hVhYJNyA,Il Gradino,808 Lexington Ave,"{'latitude': 40.76436, 'longitude': -73.96681}",19,4.0,10065
1ZKbUeFAs0ltSnAYq4ELKw,Trattoria L'incontro,21-76 31st St,"{'latitude': 40.77648209257472, 'longitude': -73.91059675544598}",1091,4.5,11105
NlmP5x_Ykznd55Dc85ChUg,Nittis,523 9th Ave,"{'latitude': 40.7567, 'longitude': -73.99411}",305,4.5,10018
CFR-HzVHKWRMpMAR3LAhzg,Montesacro Pinseria Brooklyn,432 Union Ave,"{'latitude': 40.71338, 'longitude': -73.95136}",224,4.5,11211
fuS39acPaRi38DhSSwEI4Q,Felice 15 Gold,15 Gold St,"{'latitude': 40.70789, 'longitude': -74.00712}",440,4.0,10038
WYhRkUATHRyXZrE55MArbA,Scalini Fedeli,165 Duane St,"{'latitude': 40.71741473500126, 'longitude': -74.00943235989747}",350,4.5,10013
E48WbksxAk19a8vjJRVIVQ,Ramerino Italian Prime,16 E 39th St,"{'latitude': 40.75107, 'longitude': -73.98135}",37,5.0,10016
eWMuXtaBzf0H5u0Vf_zpjw,Ciccio,190 6th Ave,"{'latitude': 40.7263263267119, 'longitude': -74.0034471165676}",307,4.5,10013
OwDRIugcA4LkUuTRqpJsog,Naked Dog,47 Java St,"{'latitude': 40.7312720665479, 'longitude': -73.9593493647979}",272,4.5,11222
nBy8KtcUHktPFKw-VClG1A,La Pecora Bianca,950 2nd Ave,"{'latitude': 40.75495, 'longitude': -73.9682718}",375,4.0,10022
nSk_zCJESMKGLHyJTPPlZA,Bottino,246 10th Ave,"{'latitude': 40.74848569625031, 'longitude': -74.00331301292165}",387,4.0,10001
-Gc5sTFxoXM3Tiv_dkSJZg,Cecconi's Dumbo,55 Water St,"{'latitude': 40.7033063330116, 'longitude': -73.9916549604523}",1015,3.5,11201
5Akss-swwfyoSVeIsDBbvw,Basta Pasta,37 W 17th St,"{'latitude': 40.73881, 'longitude': -73.99407}",1509,4.0,10011
MTQpqHo-cCAPK7c9fd6zHw,Il Mattone,49 Beach St,"{'latitude': 40.720799, 'longitude': -74.0091255}",108,4.5,10013
9iC39Z1YjZKbrrCANgzBXg,Sergimmo Salumeria,456 9th Ave,"{'latitude': 40.754296, 'longitude': -73.995498}",719,4.0,10018
gyWc5qJRvu26LVQIShdR4Q,Babbalucci,331 Lenox Ave,"{'latitude': 40.80894, 'longitude': -73.94496}",465,4.0,10027
d5ya04K-2A_hI3Xzqe1HeA,Caffe Buon Gusto,236 E 77th St,"{'latitude': 40.77249, 'longitude': -73.95713}",663,4.0,10075
b6jOwyX4iaagw8YjXqq1sA,Antonio's Trattoria,2370 Belmont Ave,"{'latitude': 40.854131, 'longitude': -73.886601}",1009,4.5,10458
